Current Club,season,goals_per_90_overall,assists_per_90_overall,average_rating_overall
aberdeen,2023/2024,0.08823529411764706,0.058823529411764705,0.0
ac milan,2023/2024,0.07404761904761904,0.05285714285714286,6.216666666666667
accrington stanley,2023/2024,0.14058823529411765,0.09205882352941176,3.216470588235294
aek athens,2023/2024,0.18146341463414636,0.20926829268292682,6.71560975609756
afc bournemouth,2023/2024,0.07608695652173914,0.029130434782608697,5.806521739130435
afc totton,2023/2024,0.0,0.0,0.0
afc wimbledon,2023/2024,0.161,0.15166666666666667,3.192
ajax,2023/2024,0.042916666666666665,0.05416666666666667,4.464583333333334
aldershot town,2023/2024,0.5864285714285714,0.17071428571428574,0.0
alfreton town,2023/2024,0.19999999999999998,0.041666666666666664,0.0
almerã­a,2023/2024,0.07703703703703704,0.04370370370370371,5.917407407407408
altrincham,2023/2024,0.0,0.0,0.0
aris,2023/2024,0.2481578947368421,0.1563157894736842,5.29
arsenal,2023/2024,0.17357142857142857,0.16642857142857143,6.8097619047619045
ashton united,2023/2024,0.0,0.0,0.0
astana,2023/2024,0.05742857142857142,0.066,2.583714285714286
aston villa,2023/2024,0.3395238095238095,0.11190476190476191,6.620952380952381
atalanta,2023/2024,0.14953488372093024,0.14837209302325582,6.3167441860465114
athletic club bilbao,2023/2024,0.18,0.10913043478260868,6.243913043478261
atlã¨tic club d'escaldes,2023/2024,0.0,0.0,0.0
atlã©tico madrid,2023/2024,0.2269047619047619,0.1523809523809524,6.907857142857143
augsburg,2023/2024,0.12454545454545456,0.0990909090909091,6.154545454545455
aveley,2023/2024,0.1,0.0,0.0
ballkani,2023/2024,0.058333333333333334,0.0,0.0
banants,2023/2024,0.11047619047619049,0.3076190476190476,0.0
barnet,2023/2024,0.13052631578947368,0.034736842105263156,0.0
barnsley,2023/2024,0.16069767441860466,0.22767441860465115,5.134883720930233
barrow,2023/2024,0.18888888888888888,0.06777777777777777,3.6411111111111105
bate,2023/2024,0.3621621621621622,0.09081081081081081,2.1272972972972974
bath city,2023/2024,0.0,0.0,0.0
bayer leverkusen,2023/2024,0.30317073170731706,0.34560975609756095,5.731951219512195
bayern mã¼nchen,2023/2024,0.3882926829268293,0.2829268292682927,6.876341463414635
baäka topola,2023/2024,0.07325000000000001,0.03825,2.6895
benfica,2023/2024,0.014000000000000002,0.0125,6.484
biggleswade town,2023/2024,0.0,0.0,0.0
billericay town,2023/2024,0.08583333333333333,0.0,0.0
birmingham city,2023/2024,0.12999999999999998,0.06521739130434782,6.486086956521739
blackburn rovers,2023/2024,0.11681818181818181,0.075,5.401363636363636
blackpool,2023/2024,0.24117647058823533,0.15,6.470588235294118
bochum,2023/2024,0.07791666666666668,0.05416666666666667,6.420000000000001
bologna,2023/2024,0.27458333333333335,0.045000000000000005,6.482083333333333
bolton wanderers,2023/2024,0.3167741935483871,0.17451612903225808,3.7864516129032255
boreham wood,2023/2024,0.06687499999999999,0.0,0.0
borussia dortmund,2023/2024,0.10261904761904761,0.07571428571428572,6.884285714285714
borussia m'gladbach,2023/2024,0.1316,0.09879999999999999,6.2768
boston united,2023/2024,0.2,0.0,0.0
bracknell town,2023/2024,0.44111111111111106,0.09444444444444444,0.0
bradford city,2023/2024,0.0912121212121212,0.0803030303030303,4.131818181818182
braintree town,2023/2024,0.0,0.0,0.0
breidablik,2023/2024,0.19142857142857142,0.08428571428571428,2.911142857142857
brentford,2023/2024,0.12916666666666665,0.07583333333333334,6.519166666666667
brest,2023/2024,0.062,0.027500000000000004,5.529999999999999
brighton & hove albion,2023/2024,0.1458139534883721,0.18651162790697673,6.035813953488373
bristol city,2023/2024,0.06,0.06352941176470589,5.87764705882353
bristol rovers,2023/2024,0.40157894736842104,0.17868421052631578,3.4902631578947365
bromley,2023/2024,0.038461538461538464,0.0,4.665384615384616
buduä‡nost,2023/2024,0.09588235294117647,0.0,0.0
burnley,2023/2024,0.08125,0.045000000000000005,5.219166666666667
burton albion,2023/2024,0.02945945945945946,0.012702702702702701,3.6224324324324324
ca osasuna,2023/2024,0.1640909090909091,0.05,6.365
cagliari,2023/2024,0.10439999999999999,0.1,6.136
cambridge united,2023/2024,0.0787878787878788,0.056363636363636366,3.2924242424242425
cardiff city,2023/2024,0.13043478260869565,0.07608695652173914,6.686521739130434
carlisle united,2023/2024,0.054871794871794874,0.06256410256410257,3.82
celta de vigo,2023/2024,0.16458333333333333,0.03666666666666667,5.81
celtic,2023/2024,0.053500000000000006,0.045,6.1615
charlton athletic,2023/2024,0.44634146341463415,0.1495121951219512,5.192439024390244
chelmsford city,2023/2024,0.1925,0.0,0.0
chelsea,2023/2024,0.17666666666666667,0.08619047619047619,5.871428571428571
cheltenham town,2023/2024,0.0638095238095238,0.010238095238095239,3.1488095238095237
chesham united,2023/2024,0.15846153846153846,0.0,0.0
chester,2023/2024,0.057499999999999996,0.04,0.0
chesterfield,2023/2024,0.18764705882352942,0.06529411764705884,5.791764705882352
clermont,2023/2024,0.07863636363636363,0.03227272727272727,5.993636363636364
colchester united,2023/2024,0.17823529411764705,0.17147058823529412,2.5394117647058825
coventry city,2023/2024,0.071,0.1075,5.7875
crawley town,2023/2024,0.045000000000000005,0.08722222222222223,3.6277777777777778
cray valley pm,2023/2024,0.82875,0.0,2.6
crewe alexandra,2023/2024,0.14222222222222222,0.11083333333333334,4.7188888888888885
crystal palace,2023/2024,0.058499999999999996,0.06949999999999999,5.7135
curzon ashton,2023/2024,0.05090909090909091,0.0,0.0
cã¡diz,2023/2024,0.07653846153846154,0.02692307692307692,6.541923076923077
dagenham & redbridge,2023/2024,0.0,0.0,0.0
darmstadt 98,2023/2024,0.07423076923076924,0.037307692307692306,6.621538461538462
deportivo alavã©s,2023/2024,0.030476190476190476,0.04999999999999999,6.062380952380953
derby county,2023/2024,0.13594594594594595,0.07405405405405406,6.445945945945946
dinamo tbilisi,2023/2024,0.06473684210526316,0.02736842105263158,0.0
dinamo zagreb,2023/2024,0.17756756756756759,0.06918918918918919,2.558648648648649
dnipro-1,2023/2024,0.1286842105263158,0.06973684210526317,2.4836842105263157
doncaster rovers,2023/2024,0.095,0.06394736842105264,3.395263157894737
dorking wanderers,2023/2024,0.0,0.0,0.0
dover athletic,2023/2024,0.0,0.0,0.0
eastleigh,2023/2024,0.21428571428571427,0.14285714285714285,0.0
ebbsfleet united,2023/2024,0.0,0.0,0.0
eintracht frankfurt,2023/2024,0.2,0.17800000000000002,5.5784
empoli,2023/2024,0.07928571428571428,0.025357142857142856,6.2524999999999995
enfield town,2023/2024,0.26625,0.0,0.0
everton,2023/2024,0.08666666666666666,0.05190476190476191,5.957619047619048
exeter city,2023/2024,0.04594594594594594,0.02837837837837838,3.641621621621622
fc barcelona,2023/2024,0.3447727272727273,0.09977272727272726,6.195681818181819
ferencvã¡ros,2023/2024,0.0,0.0,5.3566666666666665
feyenoord,2023/2024,0.18761904761904763,0.024761904761904763,5.8914285714285715
fiorentina,2023/2024,0.0926923076923077,0.06846153846153846,5.505769230769231
fleetwood town,2023/2024,0.10214285714285715,0.08761904761904762,3.3976190476190475
forest green rovers,2023/2024,0.26026315789473686,0.14473684210526316,3.395263157894737
freiburg,2023/2024,0.2144186046511628,0.1002325581395349,6.06953488372093
frosinone,2023/2024,0.13185185185185186,0.08259259259259259,5.9618518518518515
fulham,2023/2024,0.058695652173913045,0.021304347826086957,6.525652173913044
fylde,2023/2024,0.08333333333333333,0.1075,0.0
galatasaray,2023/2024,0.23571428571428574,0.10214285714285713,6.710357142857143
gateshead,2023/2024,0.15384615384615385,0.0,0.0
genoa,2023/2024,0.21,0.05925925925925926,5.782592592592592
getafe cf,2023/2024,0.07608695652173914,0.06869565217391305,5.76608695652174
gillingham,2023/2024,0.1763888888888889,0.0661111111111111,3.004722222222222
girona fc,2023/2024,0.17,0.1290909090909091,5.457272727272727
granada cf,2023/2024,0.06653846153846153,0.14384615384615385,6.275
grimsby town,2023/2024,0.2826190476190476,0.4019047619047619,3.4026190476190474
halifax town,2023/2024,0.0,0.0,0.0
hamrun spartans,2023/2024,0.05352941176470588,0.0,5.556470588235293
harrogate town,2023/2024,0.21666666666666667,0.1206060606060606,3.542121212121212
hartlepool united,2023/2024,0.0,0.0,0.0
heidenheim,2023/2024,0.08249999999999999,0.05450000000000001,6.0805
hellas verona,2023/2024,0.04125,0.07083333333333335,6.45625
hemel hempstead town,2023/2024,0.0,0.0,0.0
hereford,2023/2024,0.03866666666666666,0.0,0.0
hjk,2023/2024,0.10560975609756097,0.06463414634146342,0.0
hoffenheim,2023/2024,0.12916666666666668,0.0825,6.574166666666667
horsham,2023/2024,0.39666666666666667,0.030833333333333334,4.828333333333333
huddersfield town,2023/2024,0.046,0.0445,6.247999999999999
hull city,2023/2024,0.10454545454545454,0.050454545454545446,6.175909090909091
hã¤cken,2023/2024,0.15642857142857144,0.12119047619047618,2.5776190476190477
inter milan,2023/2024,0.11904761904761904,0.12333333333333332,6.482380952380952
ipswich town,2023/2024,0.22913043478260867,0.08217391304347825,6.643913043478261
juventus,2023/2024,0.11416666666666665,0.11375,6.415833333333333
kettering town,2023/2024,0.0,0.0,0.0
kidderminster harriers,2023/2024,0.10625,0.07625,0.0
krc genk,2023/2024,0.07272727272727272,0.039696969696969696,3.2603030303030303
kã,2023/2024,0.06852941176470588,0.14794117647058824,2.9141176470588235
kã¶ln,2023/2024,0.048260869565217385,0.058695652173913045,6.084347826086956
kã¸benhavn,2023/2024,0.18181818181818182,0.09545454545454546,6.238181818181818
larne,2023/2024,0.433125,0.031875,0.0
lask linz,2023/2024,0.08272727272727273,0.06318181818181819,5.449545454545454
lazio,2023/2024,0.13625,0.06775,6.837999999999999
le havre,2023/2024,0.43863636363636355,0.0959090909090909,5.770909090909091
lecce,2023/2024,0.42,0.6843478260869564,5.3878260869565215
leeds united,2023/2024,0.11961538461538461,0.08038461538461537,5.675000000000001
leicester city,2023/2024,0.16478260869565217,0.11130434782608696,6.576086956521739
lens,2023/2024,0.10341463414634147,0.3597560975609756,6.573170731707317
lewes,2023/2024,0.09090909090909091,0.0,0.0
leyton orient,2023/2024,0.3123684210526316,0.05184210526315789,3.3905263157894736
lille,2023/2024,0.10590909090909091,0.05863636363636364,5.253636363636364
lincoln city,2023/2024,0.21161290322580648,0.10258064516129031,3.757096774193548
lincoln red imps,2023/2024,0.029411764705882353,0.0,0.0
liverpool,2023/2024,0.1817391304347826,0.14,6.534130434782608
lorient,2023/2024,0.0776923076923077,0.06153846153846154,5.206153846153845
ludogorets,2023/2024,0.14930232558139533,0.07744186046511628,0.0
lugano,2023/2024,0.0,0.0,0.0
luton town,2023/2024,0.06523809523809525,0.021904761904761903,6.775714285714285
maccabi haifa,2023/2024,0.12512820512820513,0.09358974358974359,6.021538461538461
macclesfield,2023/2024,0.0,0.0,0.0
maidenhead united,2023/2024,0.13153846153846155,0.0,0.0
maidstone united,2023/2024,0.25076923076923074,0.08923076923076924,0.0
mainz 05,2023/2024,0.07181818181818182,0.11818181818181818,5.713181818181818
manchester city,2023/2024,0.2058139534883721,0.3381395348837209,6.865348837209302
manchester united,2023/2024,0.12377777777777778,0.23066666666666663,6.738666666666667
mansfield town,2023/2024,0.09078947368421053,0.07184210526315789,6.169473684210526
marine fc,2023/2024,0.075,0.03571428571428571,0.0
metz,2023/2024,0.10448275862068965,0.05379310344827586,3.9424137931034484
middlesbrough,2023/2024,0.13333333333333336,0.07523809523809524,6.520952380952381
millwall,2023/2024,0.10045454545454545,0.08363636363636363,6.323636363636364
milton keynes dons,2023/2024,0.09514285714285714,0.11942857142857143,3.564
molde,2023/2024,0.1582051282051282,0.14871794871794872,6.474615384615384
monaco,2023/2024,0.22363636363636363,0.16090909090909092,4.786363636363636
montpellier,2023/2024,0.0965217391304348,0.08260869565217391,5.831304347826087
monza,2023/2024,0.06,0.12480000000000001,6.34
morecambe,2023/2024,0.028928571428571432,0.06857142857142857,2.9435714285714285
nantes,2023/2024,0.09115384615384615,0.04730769230769231,5.730384615384616
napoli,2023/2024,0.2107317073170732,0.054878048780487805,6.429512195121951
needham market,2023/2024,0.0,0.0,0.0
newcastle united,2023/2024,0.13595744680851066,0.1227659574468085,5.976808510638298
newport county,2023/2024,0.12,0.10878787878787878,3.2924242424242425
nice,2023/2024,0.09238095238095238,0.039047619047619046,5.696190476190476
northampton town,2023/2024,0.06605263157894736,0.059473684210526324,3.311052631578947
norwich city,2023/2024,0.13904761904761903,0.09000000000000001,6.262857142857143
nottingham forest,2023/2024,0.10923076923076923,0.07076923076923076,6.0819230769230765
notts county,2023/2024,0.2740625,0.155625,4.4209375
oldham athletic,2023/2024,0.029411764705882353,0.0,0.0
olimpija,2023/2024,0.057692307692307696,0.04692307692307692,3.1774358974358976
olympiakos piraeus,2023/2024,0.12391304347826088,0.08956521739130435,5.539565217391305
olympique lyonnais,2023/2024,0.045000000000000005,0.03291666666666667,5.958333333333333
olympique marseille,2023/2024,0.14379310344827587,0.07344827586206897,6.077413793103449
oxford city,2023/2024,0.25416666666666665,0.0,0.0
oxford united,2023/2024,0.14857142857142858,0.14714285714285716,3.166285714285714
panathinaikos,2023/2024,0.11512195121951219,0.06780487804878048,6.72780487804878
partizani tirana,2023/2024,0.031764705882352945,0.0,0.0
peterborough united,2023/2024,0.2606060606060606,0.08,2.477272727272727
plymouth argyle,2023/2024,0.13476190476190478,0.0780952380952381,5.664285714285715
port vale,2023/2024,0.0803225806451613,0.06064516129032258,3.68
porto,2023/2024,0.16782608695652174,0.1834782608695652,6.333913043478261
portsmouth,2023/2024,0.28205882352941175,0.051470588235294115,6.377352941176471
preston north end,2023/2024,0.09863636363636363,0.07818181818181819,6.140454545454546
psg,2023/2024,0.19710526315789476,0.13263157894736843,6.6176315789473685
psv,2023/2024,0.25142857142857145,0.09095238095238095,6.534285714285714
qarabaäÿ,2023/2024,0.10372093023255814,0.1458139534883721,5.01
queens park rangers,2023/2024,0.04652173913043479,0.03043478260869565,5.413043478260869
rakã³w czä™stochowa,2023/2024,0.09714285714285714,0.052142857142857144,5.883333333333333
ramsgate,2023/2024,0.11538461538461539,0.0,0.0
rangers,2023/2024,0.11499999999999999,0.0805,6.64625
rayo vallecano,2023/2024,0.2673913043478261,0.04608695652173913,6.502608695652174
rb leipzig,2023/2024,0.33780487804878045,0.12243902439024391,6.756829268292682
rcd mallorca,2023/2024,0.11400000000000002,0.067,6.3715
reading,2023/2024,0.13517241379310344,0.05655172413793104,3.54551724137931
real betis,2023/2024,0.07755555555555556,0.09866666666666668,5.741555555555555
real madrid,2023/2024,0.16560975609756098,0.12902439024390244,6.749756097560976
real sociedad,2023/2024,0.10372093023255814,0.08883720930232558,6.8493023255813945
red star belgrade,2023/2024,0.06599999999999999,0.086,5.8305
reims,2023/2024,0.10318181818181818,0.06818181818181818,4.949090909090909
rennes,2023/2024,0.1781818181818182,0.06431818181818182,5.570909090909091
rochdale,2023/2024,0.0,0.0,0.0
roma,2023/2024,0.3488636363636364,0.2872727272727273,6.389772727272727
rotherham united,2023/2024,0.09,0.0652,5.9604
royal antwerp fc,2023/2024,0.07761904761904763,0.032857142857142856,4.824285714285715
salernitana,2023/2024,0.0496,0.0484,6.144
salford city,2023/2024,0.1446875,0.11687499999999999,3.7921875
salzburg,2023/2024,0.0425,0.036,5.487
sassuolo,2023/2024,0.0732,0.056400000000000006,6.1008000000000004
scarborough athletic,2023/2024,0.2517647058823529,0.05352941176470588,0.0
servette,2023/2024,0.07,0.018157894736842106,6.382105263157895
sevilla fc,2023/2024,0.08787234042553191,0.06042553191489362,6.550212765957447
shakhtar donetsk,2023/2024,0.10857142857142858,0.10047619047619047,5.444285714285714
shamrock rovers,2023/2024,0.05533333333333333,0.0,0.0
sheffield united,2023/2024,0.0375,0.012499999999999999,5.2612499999999995
sheffield wednesday,2023/2024,0.03333333333333333,0.02259259259259259,6.355555555555555
sheppey united,2023/2024,0.10933333333333334,0.02266666666666667,0.0
sheriff,2023/2024,0.1886842105263158,0.12921052631578947,3.6744736842105263
shrewsbury town,2023/2024,0.08236842105263158,0.07736842105263157,3.397631578947368
slavia praha,2023/2024,0.20666666666666667,0.18625,5.66375
slough town,2023/2024,0.087,0.0,0.0
slovan bratislava,2023/2024,0.15657894736842107,0.1318421052631579,3.436578947368421
solihull moors,2023/2024,0.15571428571428572,0.0,0.0
southampton,2023/2024,0.12391304347826088,0.1252173913043478,5.858260869565218
southend united,2023/2024,0.0,0.0,0.0
sparta praha,2023/2024,0.3742105263157895,0.10026315789473683,6.217105263157895
sporting braga,2023/2024,0.5596,0.1092,5.8364
sporting cp,2023/2024,0.13,0.021666666666666667,5.639444444444445
ssc farul,2023/2024,0.025500000000000002,0.0,0.0
stevenage,2023/2024,0.23684210526315788,0.0913157894736842,3.142105263157895
stockport county,2023/2024,0.34060606060606063,0.22393939393939397,3.7045454545454546
stoke city,2023/2024,0.1024,0.07,5.9744
strasbourg,2023/2024,0.08818181818181818,0.04954545454545455,5.963181818181818
struga,2023/2024,0.03666666666666667,0.0,5.916666666666667
sturm graz,2023/2024,0.07485714285714286,0.04285714285714286,5.978
stuttgart,2023/2024,0.17999999999999997,0.15625,6.2129166666666675
sunderland,2023/2024,0.17444444444444446,0.745,5.990555555555556
sutton united,2023/2024,0.10153846153846154,0.09128205128205129,3.5843589743589743
swansea city,2023/2024,0.15863636363636366,0.07681818181818181,6.0659090909090905
swift hesperange,2023/2024,0.030526315789473683,0.0,4.697894736842105
swindon town,2023/2024,0.32217391304347825,0.07260869565217391,3.4113043478260865
tallinna fc flora,2023/2024,0.0,0.0,0.0
tamworth,2023/2024,0.0,0.0,0.0
the new saints,2023/2024,0.06875,0.0,0.0
torino,2023/2024,0.07782608695652174,0.043043478260869565,6.7956521739130435
torquay united,2023/2024,0.0,0.0,0.0
tottenham hotspur,2023/2024,0.09833333333333333,0.15666666666666668,6.659166666666667
toulouse,2023/2024,0.07461538461538463,0.11512820512820514,5.548205128205128
tranmere rovers,2023/2024,0.11374999999999999,0.10425,3.62025
tre penne,2023/2024,0.07866666666666666,0.0,0.0
ud las palmas,2023/2024,0.13333333333333333,0.0575,5.93
udinese,2023/2024,0.026521739130434784,0.019130434782608695,5.196086956521739
union berlin,2023/2024,0.19355555555555554,0.07088888888888889,6.161111111111111
union saint-gilloise,2023/2024,0.08904761904761906,0.0642857142857143,4.88047619047619
valencia cf,2023/2024,0.06083333333333333,0.14916666666666667,5.23375
valmiera / bss,2023/2024,0.11941176470588237,0.0,3.6641176470588235
villarreal,2023/2024,0.085,0.049772727272727274,6.515681818181818
walsall,2023/2024,0.16837837837837838,0.09135135135135135,4.385675675675676
watford,2023/2024,0.1281818181818182,0.21045454545454545,6.145454545454545
wealdstone,2023/2024,0.3727272727272727,0.0,0.0
welling united,2023/2024,0.0,0.0,0.0
werder bremen,2023/2024,0.122,0.08839999999999999,6.4276
west bromwich albion,2023/2024,0.13238095238095238,0.08238095238095237,5.9123809523809525
west ham united,2023/2024,0.12682926829268293,0.07780487804878049,6.374146341463414
weston-super-mare,2023/2024,0.0,0.0,0.0
whitby town,2023/2024,0.19230769230769232,0.060000000000000005,0.0
wigan athletic,2023/2024,0.1291891891891892,0.08324324324324324,3.1383783783783783
woking,2023/2024,0.07157894736842105,0.0,0.0
wolfsburg,2023/2024,0.0890909090909091,0.03636363636363637,6.5
wolverhampton wanderers,2023/2024,0.172,0.1105,6.565
worksop town,2023/2024,0.1846153846153846,0.038461538461538464,0.0
worthing,2023/2024,0.2122222222222222,0.0,0.0
wrexham,2023/2024,0.16142857142857142,0.2988095238095238,6.288571428571428
wycombe wanderers,2023/2024,0.0837142857142857,0.05657142857142857,2.9771428571428573
yeovil town,2023/2024,0.174,0.042666666666666665,0.0
york city,2023/2024,0.04473684210526316,0.019473684210526317,0.0
young boys,2023/2024,0.05285714285714286,0.04857142857142857,5.653333333333333
zorya,2023/2024,0.10764705882352942,0.06235294117647059,0.0
zrinjski,2023/2024,0.11317073170731709,0.05585365853658537,2.687560975609756
äœukariäki,2023/2024,0.058333333333333334,0.05555555555555555,0.0
å½algiris,2023/2024,0.07333333333333333,0.02638888888888889,3.0675000000000003
